conta,data,posicao_usd,data_timestamp,nome_cliente,email,cidade,estado,data_abertura,tipo_conta,gestor_responsavel,retorno_diario,retorno_ytd,media_movel_30d,volatilidade_30d
ACC0001,2024-01-01,6402882.06,2024-01-01,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,,0.0,6402882.06,
ACC0001,2024-01-02,6401896.59,2024-01-02,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,-0.00015391037828982324,-0.015391037828982324,6402389.324999999,
ACC0001,2024-01-03,6408333.9,2024-01-03,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,0.0010055317060346791,0.0851466565979564,6404370.850000001,1.3014705118048049
ACC0001,2024-01-04,6423052.81,2024-01-04,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,0.0022968388086019864,0.31502610560345534,6409041.34,1.9461602333774173
ACC0001,2024-01-05,6421155.67,2024-01-05,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,-0.0002953642226085629,0.2853966359018134,6411464.206,1.9142778218070593
ACC0001,2024-01-06,6419259.23,2024-01-06,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,-0.0002953424737637267,0.2557780987769931,6412763.376666666,1.8058425974347554
ACC0001,2024-01-07,6434535.28,2024-01-07,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,0.0023797216240477592,0.4943589418543892,6415873.648571429,2.0185837363902457
ACC0001,2024-01-08,6442142.07,2024-01-08,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,0.0011821817223760522,0.6131615361973486,6419157.20125,1.855271863981664
ACC0001,2024-01-09,6438002.91,2024-01-09,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,-0.0006425129956812992,0.5485162723737558,6421251.168888889,1.9170241030567932
ACC0001,2024-01-10,6443478.08,2024-01-10,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,0.0008504454062137068,0.6340272961392168,6423473.86,1.7953568058413458
ACC0001,2024-01-11,6439395.64,2024-01-11,Luigi Brito,camargoravi-lucca@example.net,Cardoso,Maranhão,2020-10-21,Standard,Daniela Teixeira,-0.0006335770758143511,0.5702678833974906,6424921.294545454,1.8208205541478795
